Re,Ro
199.940119760479,45.95994970059879
198.98802395209577,45.86911976047904
145.67065868263472,54.04381437125747
139.95808383233532,49.59314730538922
140.91017964071855,53.58966467065868
85.688622754491,58.403651497005974
197.0838323353293,45.778289820359284
199.940119760479,46.4140994011976
198.98802395209577,46.232439520958074
198.03592814371254,46.595759281437125
196.1317365269461,47.50405868263472
195.17964071856287,48.684847904191614
135.19760479041915,54.58879401197605
118.05988023952094,56.67788263473053
159.28143712574848,26.92007984031936
157.00598802395206,25.363672654690614
160.03992015968063,25.997764471057884
156.24750499001996,25.190738522954096
160.03992015968063,27.323592814371256
157.00598802395206,25.651896207584826
155.48902195608784,24.72958083832335
130.53892215568862,15.05389221556886
131.13772455089818,15.089820359281436
129.94011976047904,16.38323353293413
129.94011976047904,16.023952095808383
108.28343313373253,9.580838323353293
107.28542914171655,8.757485029940119
107.78443113772455,9.331337325349303
107.78443113772455,9.05688622754491